% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sqrt(diag(C))", seed=867434, Mon Nov  1 10:28:43 2021, <python>{}</python>
85 850 0.15841330239219403 0 0 0.07217737792642179 0.1304487646179675 0.21498987208433018 0.1406957083046133 0.3458050453427869 0.1394965475661494 0.16127775737019567 0.03146003917420744 0.3264246956109701
86 860 0.15264512636924701 0 0 0.06858809708519957 0.12555023368906817 0.20994047680143021 0.13448439119029384 0.3362142385758136 0.13449594306511573 0.155625652055993 0.030278029701735563 0.3144060749715952
87 870 0.15066585891239162 0 0 0.06776000217945019 0.12347832068927031 0.2039606420422914 0.13381964712711766 0.3309987457497185 0.13430867309174568 0.15274936576714487 0.028679001194102365 0.31434344170098594
88 880 0.14260857020055273 0 0 0.06319622011607527 0.12340196060374865 0.19522464635734907 0.12166792998050131 0.3188613291354434 0.12622037005887868 0.14621647199672722 0.026347299094835522 0.29469856482798745
89 890 0.14510910405439456 0 0 0.061754882475878736 0.1251189110322412 0.19557775611505268 0.12278113059651866 0.3153239442699304 0.12462063963686255 0.1499821249066383 0.026284844754371595 0.2983936665797666
90 900 0.14950994495235254 0 0 0.06281046401109176 0.12753847463501342 0.20134886624815237 0.12437616932231604 0.3363751389925187 0.1271136326082105 0.1495967118371197 0.025977051020758684 0.31149077960368704
91 910 0.14500411865249394 0 0 0.05919953917278794 0.12164013152305227 0.18819254640143748 0.11792867370764702 0.3433848453703009 0.1201767077658283 0.14545883996796713 0.02489535065033418 0.30697524178943925
92 920 0.14588863709762612 0 0 0.060093700293153036 0.12252643026574832 0.18805026491153554 0.11700350417457571 0.355683486437442 0.12168103336764345 0.14922987825913292 0.024177399707081985 0.32090074452907236
93 930 0.13424402354066262 0 0 0.0540847734597813 0.11278457215006386 0.16953222194867593 0.10632467408019708 0.3275251900365393 0.11060173756004307 0.13695551732327554 0.022060117411908532 0.2905175976364157
94 940 0.1328369084318987 0 0 0.052153739195926384 0.10684920227179855 0.16757505448627102 0.10349067132626472 0.3162352561346042 0.10606876364886131 0.13781602254036668 0.020913894589444863 0.28561750670427705
95 950 0.11992797606799602 0 0 0.046578179176805914 0.09478584382259102 0.1487967366731489 0.0951655049643631 0.2898066241283974 0.095990128739394 0.12494619155397671 0.01860973249274016 0.25592005870580903
96 960 0.1214432761984722 0 0 0.046550875210939265 0.09843375364348428 0.14908005722444181 0.0938432494283864 0.3116233703126796 0.09909450619075681 0.12671285455989614 0.01814387367989414 0.27828862511436775
97 970 0.12378721976076984 0 0 0.048076455796449154 0.10149037012676136 0.15210949897152365 0.09715343060635388 0.3191234459898662 0.10561221282764223 0.128199801911607 0.0184000663013784 0.27643277949855144
98 980 0.12371230802845837 0 0 0.04922804016104297 0.10156549979765583 0.15101951553274706 0.10090881254574664 0.3239256303933398 0.10752747248745793 0.1261925175196791 0.01778602918913893 0.271321378689798
99 990 0.12438708902110447 0 0 0.050568641094615896 0.10093223930497269 0.15030026415391926 0.10811384747317497 0.3339870229282492 0.10913980244958527 0.13070719706188044 0.017448464114931995 0.26782222689567003
100 1000 0.1219024339071438 0 0 0.04966386762591651 0.09736568778129452 0.14733576846721824 0.10898514735652945 0.32809652509309956 0.10907596995103713 0.12817875027059528 0.016917765194136437 0.25670816069583374
101 1010 0.11208966209765193 0 0 0.045912172613424944 0.08895905333417309 0.13441862268346694 0.10103564586185285 0.3092313287852908 0.09962184479910653 0.1170059272881914 0.015017199095143124 0.23119555386171897
102 1020 0.10025354015299567 0 0 0.04102741267704014 0.0802987477919928 0.11984012658903018 0.09033114096886605 0.2797134108858968 0.08946384760233721 0.1026384701202771 0.013249697802104575 0.20742432571079558
103 1030 0.08782309472351334 0 0 0.03525456364814426 0.07052752483549823 0.10722381687557395 0.07773134215261632 0.2453229638187753 0.07724357226488666 0.08774946755481572 0.011412864954698627 0.18470897690898383
104 1040 0.07918408046468701 0 0 0.031138681202301205 0.06291100787870617 0.09342088325308533 0.06743698996787272 0.22056487595079083 0.06894419587135579 0.07853014673575956 0.01042852920714947 0.16539506997379377
105 1050 0.0801004056212 0 0 0.03141627744734736 0.06412067002859097 0.0964724762156885 0.07237490643275626 0.22653605269989835 0.06876190684731764 0.0792716524837359 0.0103497772454446 0.16714603416302126
106 1060 0.07971685476540964 0 0 0.03043309873678331 0.0664720895313875 0.09710125143364241 0.07259389032906298 0.22919705662736028 0.06809504926038301 0.0793440981267415 0.009820492921003517 0.1731321051879771
107 1070 0.07626743134940332 0 0 0.02867273492029988 0.06242269573874285 0.09152500414034564 0.07001052062829176 0.21552634424290057 0.06463891276925249 0.07592061886281411 0.009467284260966427 0.1636295320593959
108 1080 0.07796633421748325 0 0 0.03056569789654258 0.06882953341471021 0.09535996232632049 0.07061865068530412 0.21979509619789592 0.06845963138420519 0.07904402968975945 0.009340984936373717 0.16374121650583146
109 1090 0.0764983127123282 0 0 0.030000437743096377 0.06905802959739263 0.09392749531675519 0.06958237614024688 0.2174066553310952 0.06759550722115043 0.07687622504703553 0.009095160006627596 0.15768500880304695
110 1100 0.07428245287791481 0 0 0.028165686940155484 0.06617422091075659 0.09168180157265153 0.06700018587013144 0.21340658014395508 0.06395748971883268 0.07489309113075233 0.008599309409482316 0.15229507170839535
111 1110 0.07074624509799346 0 0 0.02680316279913035 0.06332642516366119 0.08769310342052805 0.06434885623786142 0.20320462077075488 0.06136234364105861 0.0710647488165533 0.00816211751626262 0.14000943126009274
112 1120 0.06631989161705934 0 0 0.025179554071679572 0.05939911170812923 0.08337450575240635 0.06020557198259951 0.19149353897069415 0.05838706620037119 0.06515300400721097 0.007505483801312505 0.1348433785924355
113 1130 0.05832689539923439 0 0 0.02197034506385424 0.05032473057971717 0.07222026629447374 0.05314655979533703 0.16513656935529036 0.05029063029766641 0.05801614365244605 0.006130727997610302 0.11774412999075975
114 1140 0.05342984839747405 0 0 0.019636459957386995 0.046017185468179775 0.06663658990241644 0.0481600492980949 0.15194498359322292 0.04578360101046007 0.053264181765731264 0.005604919417383246 0.10974933171453573
115 1150 0.05001284985783408 0 0 0.01857165878513353 0.044763685480637604 0.061374305323217214 0.044492339060081015 0.14497222472883375 0.043231258890613244 0.05060836519150507 0.005024765098109085 0.10428043144249148
116 1160 0.04855443455815298 0 0 0.01801123475264666 0.04359821679388679 0.059629620263977355 0.04242788315548596 0.13984153312313768 0.04156997814915193 0.04994374798407487 0.004944153925706821 0.10051953724266569
117 1170 0.04597916870272356 0 0 0.016667374451268396 0.0400607165068194 0.05687057759859521 0.039828411933724855 0.13106910929613186 0.03774906440377216 0.04676279822259357 0.004377630849935145 0.09165840251122594
118 1180 0.04367661648846249 0 0 0.015516930859555536 0.03841475743617963 0.05342609098497705 0.037435667021875035 0.12382167169487612 0.03490959646525971 0.04426595171365498 0.004035103758659995 0.08645119959459546
119 1190 0.04264131727785282 0 0 0.014908458795074008 0.03722647348259814 0.05282171041564842 0.037997654410170396 0.11921138205661064 0.0336748314472867 0.04397473120815811 0.003822591994998092 0.08432729521463066
120 1200 0.03957715299367038 0 0 0.013683330480498924 0.034226511031695724 0.048324126585846276 0.03532051054489373 0.10555220451196091 0.03125505615718663 0.039778845271392915 0.0034451269986563006 0.07659691128652674
121 1210 0.03701174072802776 0 0 0.012377992024622307 0.031515801693102447 0.04586667699572804 0.03177530851140341 0.10044946455645504 0.027875556384033946 0.03739096791131744 0.00310565508664857 0.07118608879213172
122 1220 0.03632908880849468 0 0 0.012213245569313873 0.030654535151552392 0.045534272367938465 0.031562632225206694 0.10306685381447843 0.027526821289731662 0.03766583833880966 0.002994387860518064 0.06795843248794621
123 1230 0.03471290126173972 0 0 0.011162434156079743 0.03055331344549646 0.044618159635672526 0.02897849484249167 0.0990245640687006 0.025513151387811368 0.03559759889415771 0.0027637961823330903 0.06413193937289877
124 1240 0.034965563138300265 0 0 0.01082486885823424 0.031472870694146206 0.0464424869677853 0.02999336427114221 0.09889489474947008 0.024985959680301286 0.03673489946617976 0.002800610071111067 0.0632822540878919
